127.0.0.1 - - [28/Sep/2023:10:02:12 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:05:22 -0300] "GET /Cadastro/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:05:22 -0300] "GET /Cadastro/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:05:22 -0300] "GET /Cadastro/javax.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:05:29 -0300] "POST /Cadastro/relatorios.xhtml HTTP/1.1" 200 14384
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:05:31 -0300] "POST /Cadastro/relatorios.xhtml HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:56:52 -0300] "GET /Cadastro/relatorios.xhtml HTTP/1.1" 200 16009
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:56:52 -0300] "GET /Cadastro/javax.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:56:52 -0300] "GET /Cadastro/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:56:52 -0300] "GET /Cadastro/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:56:59 -0300] "GET /Cadastro/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:56:59 -0300] "GET /Cadastro/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:56:59 -0300] "GET /Cadastro/javax.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:56:59 -0300] "GET /Cadastro/relatorios.xhtml HTTP/1.1" 200 16009
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:57:02 -0300] "POST /Cadastro/relatorios.xhtml HTTP/1.1" 200 15673
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:57:02 -0300] "GET /Cadastro/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:57:02 -0300] "GET /Cadastro/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:57:02 -0300] "GET /Cadastro/javax.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:57:07 -0300] "POST /Cadastro/index.xhtml;jsessionid=656D162F6C98E8B8521B0A0D32985EFA HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:57:32 -0300] "GET /Cadastro/ HTTP/1.1" 200 55470
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:57:34 -0300] "GET /Cadastro/javax.faces.resource/calendar/calendar.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:57:34 -0300] "GET /Cadastro/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:57:34 -0300] "GET /Cadastro/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:57:34 -0300] "GET /Cadastro/javax.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:57:34 -0300] "GET /Cadastro/javax.faces.resource/inputmask/inputmask.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:57:36 -0300] "POST /Cadastro/index.xhtml HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:57:36 -0300] "GET /Cadastro/relatorios.xhtml HTTP/1.1" 200 16011
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:57:36 -0300] "GET /Cadastro/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:57:36 -0300] "GET /Cadastro/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:57:36 -0300] "GET /Cadastro/javax.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:57:50 -0300] "POST /Cadastro/relatorios.xhtml HTTP/1.1" 200 15319
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:58:11 -0300] "GET /Cadastro/relatorios.xhtml HTTP/1.1" 200 16011
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:58:11 -0300] "GET /Cadastro/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:58:11 -0300] "GET /Cadastro/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:58:11 -0300] "GET /Cadastro/javax.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:58:14 -0300] "POST /Cadastro/relatorios.xhtml HTTP/1.1" 200 15674
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:58:14 -0300] "GET /Cadastro/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:58:14 -0300] "GET /Cadastro/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:58:14 -0300] "GET /Cadastro/javax.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:58:20 -0300] "GET /Cadastro/relatorios.xhtml HTTP/1.1" 200 16009
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:58:20 -0300] "GET /Cadastro/javax.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:58:20 -0300] "GET /Cadastro/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:58:20 -0300] "GET /Cadastro/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:11:03:03 -0300] "GET /Cadastro/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:11:03:03 -0300] "GET /Cadastro/javax.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:11:03:03 -0300] "GET /Cadastro/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:11:03:03 -0300] "GET /Cadastro/relatorios.xhtml HTTP/1.1" 200 16013
0:0:0:0:0:0:0:1 - - [28/Sep/2023:11:03:16 -0300] "GET /Cadastro/javax.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:11:03:16 -0300] "GET /Cadastro/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:11:03:16 -0300] "GET /Cadastro/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
